csv_name,db_species_id,db_german_name,db_latin_name,match_type
"Alnus glutinosa,(Schwarzerle)",128.0,Schwarz-Erle,Alnus glutinosa,Exact Latin match: 'Alnus glutinosa'
Alnus glutinosa:Schwarzerle,128.0,Schwarz-Erle,Alnus glutinosa,Exact Latin match: 'Alnus glutinosa'
Alnus incana(Weißerle),128.0,Schwarz-Erle,Alnus glutinosa,Latin genus match only: Alnus → Alnus glutinosa
Betula alba(Birke),112.0,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
"Betula alba,Birke",112.0,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
Birke,111.0,Birke (alle Arten),Betula,Partial German match: 'Birke' → 'Birke (alle Arten)' (common: {'birke'})
"Birke, Betula alba",112.0,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
Buche,123.0,Rotbuche,Fagus sylvatica,Special case: 'buche' → 'rotbuche'
Corgulus avellana(Haselnuss),113.0,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
Coryllus avellana(Haselnuss),113.0,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
Corylus avellana(Haselnuss),113.0,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
"Corylus avellana,(Haselnuß)",113.0,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
"Corylus avellana,Haselnuß",113.0,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
"Crataegus oxyacantha,Weißdorn",138.0,Zweigriffliger Weißdorn,Crataegus laevigata,Latin genus match only: Crataegus → Crataegus laevigata
"Erica vulgaris,Haide",114.0,Heidekraut,Calluna vulgaris,Exact Latin match: 'Calluna vulgaris'
Erisa vulg:(Heidekräuter),114.0,Heidekraut,Calluna vulgaris,Exact German match: 'Heidekraut'
Fagus silvatica(Rotbirke),123.0,Rotbuche,Fagus sylvatica,Latin genus match only: Fagus → Fagus sylvatica
Fagus sylvatica(Rotbirke),123.0,Rotbuche,Fagus sylvatica,Exact Latin match: 'Fagus sylvatica'
Fichte,107.0,Fichte,Picea abies,Exact German match: 'Fichte'
Foher,118.0,Kiefer,Pinus sylvestris,Special case: 'föhre' → 'kiefer'
Fragaria resca(Gemeine Erdbeere),384.0,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
Fragaria vesca(Gemeine Erdbeere),384.0,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
"Fragaria vesca,Gemeine Erdbeere",384.0,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
Föher,118.0,Kiefer,Pinus sylvestris,Exact German match: 'Kiefer'
Gemeine Erdbeere,384.0,Erdbeere,Fragaria,Partial German match: 'Gemeine Erdbeere' → 'Erdbeere' (common: {'erdbeere'})
Gemeine Gerste,204.0,Wintergerste,Hordeum vulgare,Special case: 'gemeine gerste' → 'wintergerste'
Gemeiner Hollunder,129.0,Schwarzer Holunder,Sambucus nigra,Partial German match: 'Gemeiner Holunder' → 'Schwarzer Holunder' (common: {'holunder'})
"Gemeiner Hollunder, Sambucus nigra",129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Gerste,204.0,Wintergerste,Hordeum vulgare,Special case: 'gerste' → 'wintergerste'
Haber,208.0,Hafer,Avena sativa,Exact German match: 'Hafer'
Haide,114.0,Heidekraut,Calluna vulgaris,Special case: 'haide' → 'heidekraut'
Haselnuß,113.0,Hasel,Corylus avellana,Special case: 'haselnuß' → 'hasel'
HaselnußCorylus avellana,113.0,Hasel,Corylus avellana,Special case: 'haselnuß' → 'hasel'
Himbeere,382.0,Himbeere,Rubus idaeus,Exact German match: 'Himbeere'
Kobinia pseudoacacia:Gemeiner Robinin,121.0,Robinie,Robinia pseudoacacia,Exact Latin match: 'Robinia pseudoacacia'
Lerche,105.0,Europäische Lärche,Larix decidua,Special case: 'lerche' → 'europäische lärche'
"Lerche, Pinus larix",105.0,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
Lerchen,105.0,Europäische Lärche,Larix decidua,Special case: 'lerche' → 'europäische lärche'
Pinus abies(Weißtanne),133.0,Tanne,Abies alba,Exact German match: 'Tanne'
"Pinus abies, Weißtanne",133.0,Tanne,Abies alba,Exact German match: 'Tanne'
Pinus larix(Lerche),105.0,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
"Pinus larix, Lerche",105.0,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
"Pinus larix,Lerche",105.0,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
Pinus picea(Fichte),107.0,Fichte,Picea abies,Exact German match: 'Fichte'
"Pinus picea,Fichte",107.0,Fichte,Picea abies,Exact German match: 'Fichte'
Pinus sylvestris(Föher),118.0,Kiefer,Pinus sylvestris,Exact Latin match: 'Pinus sylvestris'
"Pinus sylvestris,Föher",118.0,Kiefer,Pinus sylvestris,Exact Latin match: 'Pinus sylvestris'
Prunus avium(Süßkirsche),332.0,"Süßkirsche, späte Reife",Prunus avium,Exact Latin match: 'Prunus avium'
Prunus avium(Vogelkirsche),332.0,"Süßkirsche, späte Reife",Prunus avium,Exact Latin match: 'Prunus avium'
Prunus commuis(Holzbirn),125.0,Schlehe,Prunus spinosa,Latin genus match only: Prunus → Prunus spinosa
Prunus padus(Traubenkirsche),134.0,Traubenkirsche,Prunus padus,Exact Latin match: 'Prunus padus'
Prunus spinosa(Schlehdorn),125.0,Schlehe,Prunus spinosa,Exact Latin match: 'Prunus spinosa'
Prunus spinosa(Schlehe),125.0,Schlehe,Prunus spinosa,Exact Latin match: 'Prunus spinosa'
"Prunus spinosa,Schlehe",125.0,Schlehe,Prunus spinosa,Exact Latin match: 'Prunus spinosa'
Pyras communis(Holzbirn),322.0,"Birne, späte Reife",Pyrus communis,Exact Latin match: 'Pyrus communis'
"Pyrus communis, Holzbirn",322.0,"Birne, späte Reife",Pyrus communis,Exact Latin match: 'Pyrus communis'
Pyrus malus(Holzapfel),322.0,"Birne, späte Reife",Pyrus communis,Latin genus match only: Pyrus → Pyrus communis
"Pyrus malus, Holzapfel",322.0,"Birne, späte Reife",Pyrus communis,Latin genus match only: Pyrus → Pyrus communis
Quereus robur(Trauben-Wintereiche),132.0,Stiel-Eiche,Quercus robur,Exact Latin match: 'Quercus robur'
Rectula alba (Birke),112.0,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
"Rothbuche,Fagus sylvatica",123.0,Rotbuche,Fagus sylvatica,Exact Latin match: 'Fagus sylvatica'
Rothleuche,123.0,Rotbuche,Fagus sylvatica,Special case: 'rothleuche' → 'rotbuche'
Roßkastanie,122.0,Rosskastanie,Aesculus hippocastanum,Exact German match: 'Rosskastanie'
Saalweide,124.0,Sal-Weide,Salix caprea,Special case: 'saalweide' → 'sal-weide'
"Saalweide,Salic caprea",124.0,Sal-Weide,Salix caprea,Exact Latin match: 'Salix caprea'
"Salix caprea,Saalweide",124.0,Sal-Weide,Salix caprea,Exact Latin match: 'Salix caprea'
Sambucus nigra (Gemeiner Hollunder),129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Sambucus nigra(Gemeiner Hollunder),129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Sambucus nigra(Schwarzer Holunder),129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
"Sambucus nigra,(Gemeiner Hollunder)",129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
"Sambucus nigra,Gemeiner Hollunder",129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
Sambucus nigra: Schwarzer Hollunder,129.0,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
"Sambucus racemosa,(Rother)",129.0,Schwarzer Holunder,Sambucus nigra,Latin genus match only: Sambucus → Sambucus nigra
Sambucus racemosia(Rother),129.0,Schwarzer Holunder,Sambucus nigra,Latin genus match only: Sambucus → Sambucus nigra
Schlehe,125.0,Schlehe,Prunus spinosa,Exact German match: 'Schlehe'
Schwarzer Hollunder,129.0,Schwarzer Holunder,Sambucus nigra,Exact German match: 'Schwarzer Holunder'
Schwarzerle,128.0,Schwarz-Erle,Alnus glutinosa,Exact German match: 'Schwarz-Erle'
Socbus aucuparia(Vogelbeere),103.0,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Sommereiche,132.0,Stiel-Eiche,Quercus robur,Special case: 'sommereiche' → 'stiel-eiche'
Sommerleide,124.0,Sal-Weide,Salix caprea,Special case: 'sommerleide' → 'sal-weide'
Sorbus aucuparia(Vogelbeerbaum),103.0,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Sorbus aucuparia(Vogelbeere),103.0,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
"Sorbus aucuparia,Vogelbeerbaum",103.0,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Stiel EicheQuereus foernina,132.0,Stiel-Eiche,Quercus robur,Special case: 'stiel eiche' → 'stiel-eiche'
Vogelbeerbaum,103.0,Eberesche,Sorbus aucuparia,Special case: 'vogelbeerbaum' → 'eberesche'
"Vogelbeerbaum,Sorbus aucuparia",103.0,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Weidenroggen,203.0,Winterroggen,Secale cereale,Exact German match: 'Winterroggen'
Weißdorn,138.0,Zweigriffliger Weißdorn,Crataegus laevigata,Special case: 'weissdorn' → 'zweigriffliger weißdorn'
"Weißdorn,Crataegus oxycantha",138.0,Zweigriffliger Weißdorn,Crataegus laevigata,Latin genus match only: Crataegus → Crataegus laevigata
Weißtanne,133.0,Tanne,Abies alba,Exact German match: 'Tanne'
Winter Roggen,203.0,Winterroggen,Secale cereale,Pattern match: Roggen variant → Winterroggen
Winter-LindePilia paroifolia,130.0,Sommer-Linde,Tilia platyphyllos,Special case: 'linde' → 'sommer-linde'
Winterroggen,203.0,Winterroggen,Secale cereale,Exact German match: 'Winterroggen'
Winterweitzen,202.0,Winterweizen,Triticum aestivum,Special case: 'winterweitzen' → 'winterweizen'
Winterweizen,202.0,Winterweizen,Triticum aestivum,Exact German match: 'Winterweizen'
